epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.543,1.58055,3.78588,1.28024,0.00672,0.39815,0.02609,0.01798,0.97271,3.69481,1.19395,3.334e-05,3.334e-05,3.334e-05
2,66.9657,1.18527,3.61034,1.1348,0.01508,0.5,0.09243,0.06167,1.03299,3.65771,1.15245,8.16997e-05,8.16997e-05,8.16997e-05
3,94.7452,1.17715,3.19095,1.11588,0.01348,0.5,0.18826,0.1301,1.18358,3.5673,1.15638,0.000128079,0.000128079,0.000128079
4,121.981,1.05041,2.49006,1.04161,0.02131,0.62963,0.24643,0.18377,1.02394,3.39109,1.12887,0.000172478,0.000172478,0.000172478
5,149.081,1.00156,1.77348,1.01096,0.02024,0.61111,0.2793,0.19849,0.97686,3.17252,1.10514,0.000214896,0.000214896,0.000214896
